time,1月4日,1月5日,1月6日,1月7日,1月8日,1月9日,1月10日,1月11日,1月12日,1月13日,1月14日,1月15日,1月16日,1月17日,1月18日,1月19日,1月20日,1月21日,1月22日,1月23日,1月24日,1月25日,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日
湖北,4,8,12,16,16,16,16,16,16,16,17,17,34,83,135,198,270,375,444,549,729,1052,1423,2714,3554,4586,5806,7153
浙江,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,26,43,62,104,128,173,296,428,537,599
广东,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,26,32,53,78,98,146,188,241,311,393,520
河南,0,0,0,1,1,1,1,2,2,3,3,3,3,3,4,5,5,5,5,9,32,83,128,168,206,278,352,422
湖南,0,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,6,9,24,43,69,100,143,221,277,332,389
江西,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,7,13,18,36,48,72,109,162,240,297
安徽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,39,60,70,106,152,200,237,286
重庆,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,11,27,57,75,110,132,147,165,206,238
山东,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,21,39,63,87,121,136,178,207
四川,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,7,10,28,44,69,90,108,142,177,202
江苏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,18,31,47,70,99,129,168,202
上海,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,9,16,20,33,40,53,66,80,101,128,153
北京,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,22,36,39,67,80,91,114,121,144
福建,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,10,18,35,56,71,82,101,120,139
广西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,23,33,46,51,58,78,87,101
陕西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,22,35,46,56,63,87,100
河北,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,8,13,18,33,48,65,82,96
云南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,11,11,26,44,51,70,76,83
黑龙江,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,4,6,11,15,21,30,37,43,59,80
海南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,20,31,38,43,46,49,60
辽宁,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,4,4,4,13,18,22,36,41,45,57
山西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,9,13,20,27,35,39,47
天津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,8,10,14,23,24,27,31,35
甘肃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,7,14,19,24,26,29,32
内蒙古,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,13,15,18,20,29
宁夏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,11,12,17,21,26
新疆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,5,10,13,14,17,23
贵州,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,4,4,4,5,7,9,9,12,15,18
吉林,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,6,8,9,14,14,17
香港,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,8,8,8,10,12,13
台湾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,8,8,9,10
青海,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,6,8,9
澳门,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,7,7,7,7,7
西藏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
sum,5,10,14,19,19,19,21,22,24,25,27,30,51,102,160,230,333,474,627,880,1343,1993,2801,4563,5998,7731,9699,11795